date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality,man_conf_case,man_conf_case_rate,man_critical_rate,man_death,man_death_rate,woman_conf_case,woman_conf_case_rate,woman_critical_rate,woman_death,woman_death_rate,age_0-9_conf_case,age_0-9_conf_case_rate,age_0-9_critical_rate,age_0-9_death,age_0-9_death_rate,age_10-19_conf_case,age_10-19_conf_case_rate,age_10-19_critical_rate,age_10-19_death,age_10-19_death_rate,age_20-29_conf_case,age_20-29_conf_case_rate,age_20-29_critical_rate,age_20-29_death,age_20-29_death_rate,age_30-39_conf_case,age_30-39_conf_case_rate,age_30-39_critical_rate,age_30-39_death,age_30-39_death_rate,age_40-49_conf_case,age_40-49_conf_case_rate,age_40-49_critical_rate,age_40-49_death,age_40-49_death_rate,age_50-59_conf_case,age_50-59_conf_case_rate,age_50-59_critical_rate,age_50-59_death,age_50-59_death_rate,age_60-69_conf_case,age_60-69_conf_case_rate,age_60-69_critical_rate,age_60-69_death,age_60-69_death_rate,age_70-79_conf_case,age_70-79_conf_case_rate,age_70-79_critical_rate,age_70-79_death,age_70-79_death_rate,age_over-80_conf_case,age_over-80_conf_case_rate,age_over-80_critical_rate,age_over-80_death,age_over-80_death_rate,var_sequences_total,var_B.1.160_num,var_B.1.160_per,var_B.1.620_num,var_B.1.620_per,var_B.1.258_num,var_B.1.258_per,var_B.1.221_num,var_B.1.221_per,var_B.1.1.302_num,var_B.1.1.302_per,var_B.1.1.277_num,var_B.1.1.277_per,var_B.1.1.519_num,var_B.1.1.519_per,var_B.1.367_num,var_B.1.367_per,var_B.1.177_num,var_B.1.177_per,var_Beta_num,var_Beta_per,var_Alpha_num,var_Alpha_per,var_Gamma_num,var_Gamma_per,var_Delta_num,var_Delta_per,var_Kappa_num,var_Kappa_per,var_Epsilon_num,var_Epsilon_per,var_Eta_num,var_Eta_per,var_Iota_num,var_Iota_per,var_Lambda_num,var_Lambda_per,var_B.1.621_num,var_B.1.621_per,var_S:677P.Pelican_num,var_S:677P.Pelican_per,var_S:677H.Robin1_num,var_S:677H.Robin1_per,var_others_num,var_others_per,var_non_who_num,var_non_who_per,new_people_vaccinated,new_age_over-80_conf_case,new_age_0-9_conf_case,new_age_10-19_conf_case,new_age_20-29_conf_case,new_age_30-39_conf_case,new_age_40-49_conf_case,new_age_50-59_conf_case,new_age_60-69_conf_case,new_age_70-79_conf_case
2020-01-21,,,,,,,,,,,,,,,,,,,,,,,11,0,,,,,,people tested,,,,,,,,,,0,51269183,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2020-01-22,1,,,,,,0.02,,,,,,,,,,,,,,,5,16,0,0,,,,,people tested,,,,,,,,,,0,51269183,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2020-01-23,1,0,,,,,0.02,0,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,,,,,0,51269183,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2020-01-24,2,1,,,,,0.039,0.02,,,,,,,,,,,,,,,25,0,,,,,,people tested,,,,,,,,,,0,51269183,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2020-01-25,2,0,,,,,0.039,0,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,,,,,0,51269183,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2020-01-26,3,1,,,,,0.059,0.02,,,,,,,,,,,,,,,48,0.001,,,,,,people tested,,,,,,,,,,0,51269183,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,7.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2020-01-27,4,1,,,,,0.078,0.02,,,,,,,,,,,,,,9,57,0.001,0,,,,,people tested,,,,,,,,,,0,51269183,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2020-01-28,4,0,0.429,,,0,0.078,0,0.008,,,0,,,,,,,,,,130,187,0.004,0.003,25,0,0.017,58.3,people tested,,,,,,,,,,0,51269183,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2020-01-29,4,0,0.429,,,0,0.078,0,0.008,,,0,,,,,,,,,,,,,,28,0.001,0.015,65.3,people tested,,,,,,,,,,0,51269183,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
2020-01-30,4,0,0.429,,,0,0.078,0,0.008,,,0,,,,,,,,,,,244,0.005,,32,0.001,0.013,74.6,people tested,,,,,,,,,,0,51269183,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
